STATION,ZONE
SOUTH STATION,1A
JFK/UMASS,1A
QUINCY CENTER,1
WEYMOUTH LANDING/EAST BRAINTREE,2
EAST WEYMOUTH,2
WEST HINGHAM,3
NANTASKET JUNCTION,4
COHASSET,4
NORTH SCITUATE,5
GREENBUSH,6
BRAINTREE,2
HOLBROOK/RANDOLPH,3
MONTELLO,4
BROCKTON,4
CAMPELLO,5
BRIDGEWATER,6
MIDDLEBOROUGH/LAKEVILLE,8
SOUTH WEYMOUTH,3
ABINGTON,4
WHITMAN,5
HANSON,6
HALIFAX,7
KINGSTON,8
PLYMOUTH,8
NEWMARKET,1A
UPHAMS CORNER,1A
FOUR CORNERS/GENEVA AVE,1A
TALBOT AVENUE,1A
MORTON STREET,1A
FAIRMOUNT,1A
READVILLE,2
BACK BAY,1A
RUGGLES,1A
HYDE PARK,1
ROUTE 128,2
CANTON JUNCTION,3
CANTON CENTER,3
STOUGHTON,4
SHARON,4
MANSFIELD,6
ATTLEBORO,7
SOUTH ATTLEBORO,7
PROVIDENCE,8
TF GREEN AIRPORT,9
"WICKFORD JCT, RI",10
FOXBORO (SPECIAL EVENT),12
ENDICOTT,2
DEDHAM CORP. CENTER,2
ISLINGTON,3
NORWOOD DEPOT,3
NORWOOD CENTRAL,3
WINDSOR GARDENS,4
PLIMPTONVILLE,4
WALPOLE,4
NORFOLK,5
FRANKLIN/DEAN COLLEGE,6
FORGE PARK/495,6
FOREST HILLS,1A
ROSLINDALE VILLAGE,1
BELLEVUE,1
HIGHLAND,1
WEST ROXBURY,1
HERSEY,2
NEEDHAM JUNCTION,2
NEEDHAM CENTER,2
NEEDHAM HEIGHTS,2
YAWKEY,1A
BOSTON LANDING,1A
NEWTONVILLE,1
WEST NEWTON,2
AUBURNDALE,2
WELLESLEY FARMS,3
WELLESLEY HILLS,3
WELLESLEY SQUARE,3
NATICK,4
WEST NATICK,4
FRAMINGHAM,5
ASHLAND,6
SOUTHBOROUGH,6
WESTBOROUGH,7
GRAFTON,8
WORCESTER,8
NORTH STATION,1A
PORTER SQUARE,1A
BELMONT,1
WAVERLEY,1
WALTHAM,2
BRANDEIS/ROBERTS,2
KENDAL GREEN,3
HASTINGS,3
SILVER HILL,3
LINCOLN,4
CONCORD,5
WEST CONCORD,5
SOUTH ACTON,6
LITTLETON/ROUTE 495,7
AYER,8
SHIRLEY,8
NORTH LEOMINSTER,8
FITCHBURG,8
WACHUSETT,8
WEST MEDFORD,1A
WEDGEMERE,1
WINCHESTER CENTER,1
MISHAWUM,2
ANDERSON/WOBURN,2
WILMINGTON,3
NORTH BILLERICA,5
LOWELL,6
MALDEN CENTER,1A
WYOMING HILL,1
MELROSE/CEDAR PARK,1
MELROSE HIGHLANDS,1
GREENWOOD,2
WAKEFIELD,2
READING,2
NORTH WILMINGTON,3
BALLARDVALE,4
ANDOVER,5
LAWRENCE,6
BRADFORD,7
HAVERHILL,7
CHELSEA,1A
RIVER WORKS,2
LYNN,2
SWAMPSCOTT,3
SALEM,3
BEVERLY,4
NORTH BEVERLY,5
HAMILTON/WENHAM,5
IPSWICH,6
ROWLEY,7
NEWBURYPORT,8
MONTSERRAT,4
PRIDES CROSSING,5
BEVERLY FARMS,5
MANCHESTER,6
WEST GLOUCESTER,7
GLOUCESTER,7
ROCKPORT,8
